id,title,elapsed_time_mins,elapsed_time_ratio,audience_watch_ratio,relative_retention_performance,year,duration
y7zRv0bPAt4,Bidang Koordinat,0.05616666666666667,0.01,1.0467,0.7553,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,0.11233333333333334,0.02,0.8972,0.84245,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,0.16849999999999998,0.03,0.8505,0.8929,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,0.22466666666666668,0.04,0.7757,0.9016,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,0.2808333333333334,0.05,0.757,0.90175,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,0.33699999999999997,0.06,0.7477,0.90345,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,0.3931666666666667,0.07,0.785,0.90585,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,0.44933333333333336,0.08,0.7944,0.9076,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,0.5055,0.09,0.785,0.90685,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,0.5616666666666668,0.1,0.785,0.9002,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,0.6178333333333333,0.11,0.7664,0.88265,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,0.6739999999999999,0.12,0.729,0.8497,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,0.7301666666666667,0.13,0.7196,0.8016,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,0.7863333333333334,0.14,0.6822,0.75175,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,0.8424999999999999,0.15,0.6729,0.72425,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,0.8986666666666667,0.16,0.6822,0.73065,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,0.9548333333333334,0.17,0.7103,0.7577,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,1.011,0.18,0.6729,0.7846,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,1.0671666666666666,0.19,0.7009,0.80215,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,1.1233333333333335,0.2,0.6822,0.813,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,1.1795,0.21,0.6822,0.8232,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,1.2356666666666667,0.22,0.6729,0.8362,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,1.2918333333333334,0.23,0.6916,0.8512,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,1.3479999999999999,0.24,0.7103,0.86615,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,1.4041666666666666,0.25,0.6916,0.8821,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,1.4603333333333335,0.26,0.6916,0.90065,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,1.5165000000000002,0.27,0.729,0.91855,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,1.5726666666666669,0.28,0.785,0.93005,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,1.6288333333333331,0.29,0.785,0.93255,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,1.6849999999999998,0.3,0.7757,0.9272,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,1.7411666666666668,0.31,0.729,0.91525,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,1.7973333333333334,0.32,0.7009,0.8997,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,1.8535000000000001,0.33,0.7009,0.88495,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,1.9096666666666668,0.34,0.6916,0.8759,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,1.965833333333333,0.35,0.7009,0.87545,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,2.022,0.36,0.6822,0.88215,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,2.0781666666666667,0.37,0.7196,0.89085,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,2.134333333333333,0.38,0.7757,0.896,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,2.1905,0.39,0.7664,0.8953,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,2.246666666666667,0.4,0.7664,0.89135,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,2.302833333333333,0.41,0.7477,0.8867,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,2.359,0.42,0.729,0.88105,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,2.4151666666666665,0.43,0.6916,0.8738,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,2.4713333333333334,0.44,0.7196,0.8664,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,2.5275000000000003,0.45,0.7103,0.8599,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,2.5836666666666668,0.46,0.7009,0.85325,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,2.6398333333333333,0.47,0.6542,0.8452,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,2.6959999999999997,0.48,0.6636,0.83625,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,2.7521666666666667,0.49,0.6355,0.82815,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,2.808333333333333,0.5,0.6168,0.82285,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,2.8645,0.51,0.6355,0.8205,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,2.920666666666667,0.52,0.6636,0.82035,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,2.9768333333333334,0.53,0.5888,0.82195,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,3.0330000000000004,0.54,0.6168,0.82465,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,3.089166666666667,0.55,0.6355,0.82645,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,3.1453333333333338,0.56,0.6262,0.8251,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,3.2015,0.57,0.6355,0.8196,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,3.2576666666666663,0.58,0.5794,0.80935,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,3.313833333333333,0.59,0.6262,0.79515,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,3.3699999999999997,0.6,0.5888,0.78465,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,3.4261666666666666,0.61,0.6168,0.7923,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,3.4823333333333335,0.62,0.6262,0.8224,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,3.5385,0.63,0.6355,0.85935,2020,5M 37S
y7zRv0bPAt4,Bidang Koordinat,3.594666666666667,0.64,0.6822,0.88505,2020,5M 37S
