id,topic_id,topic_name,lesson_id,lesson_name,position,talking_head
y7zRv0bPAt4,1,Persamaan dan Grafiknya,1,Bidang Koordinat,1,0
8_HqAYKZZ_I,1,Persamaan dan Grafiknya,1,Bidang Koordinat,2,0
errB7Ku0HyQ,1,Persamaan dan Grafiknya,1,Bidang Koordinat,3,0
L60C_wcLDHU,1,Persamaan dan Grafiknya,2,Grafik Persamaan Dua Variabel,1,0
Jv4y4Z4zeRc,1,Persamaan dan Grafiknya,2,Grafik Persamaan Dua Variabel,2,0
7Ak8vzFzN_Y,1,Persamaan dan Grafiknya,2,Grafik Persamaan Dua Variabel,3,0
vr7jLRIA7C0,1,Persamaan dan Grafiknya,2,Grafik Persamaan Dua Variabel,4,0
qxsXKYJRgJI,1,Persamaan dan Grafiknya,3,Garis,1,0
nV01VpbjQLQ,1,Persamaan dan Grafiknya,3,Garis,2,0
kny1ZHg4tyM,1,Persamaan dan Grafiknya,3,Garis,3,0
2Wsb2KmeD04,1,Persamaan dan Grafiknya,4,Persamaan Kuadrat,1,0
u-qsNS-65pQ,1,Persamaan dan Grafiknya,4,Persamaan Kuadrat,2,0
hQTDiy0X4eo,1,Persamaan dan Grafiknya,4,Persamaan Kuadrat,3,0
WZVKP14QVgo,1,Persamaan dan Grafiknya,4,Persamaan Kuadrat,4,0
DRr8kXo0Agg,1,Persamaan dan Grafiknya,5,Persamaan-Persamaan Lain,1,0
br341Djn3_0,1,Persamaan dan Grafiknya,5,Persamaan-Persamaan Lain,2,0
KJKYkGivPi8,1,Persamaan dan Grafiknya,5,Persamaan-Persamaan Lain,3,0
QS8l0H1BGjY,1,Persamaan dan Grafiknya,5,Persamaan-Persamaan Lain,4,0
RF1chK7xiX0,1,Persamaan dan Grafiknya,6,Pertidaksamaan,1,0
9KVzGWFEufI,1,Persamaan dan Grafiknya,6,Pertidaksamaan,2,0
PcSTCsI6zUk,1,Persamaan dan Grafiknya,6,Pertidaksamaan,3,0
uDQAWZsh3ns,1,Persamaan dan Grafiknya,7,Persamaan dan Pertidaksamaan Nilai Mutlak,1,0
