video,day,views,estimatedMinutesWatched,likes,dislikes,comments,shares,year
2Wsb2KmeD04,2020-09-14,3,1,0,0,0,0,2020
7Ak8vzFzN_Y,2020-09-14,1,0,0,0,0,0,2020
8_HqAYKZZ_I,2020-09-14,2,0,0,0,0,0,2020
9KVzGWFEufI,2020-09-14,2,0,0,0,0,0,2020
DRr8kXo0Agg,2020-09-14,2,0,0,0,0,0,2020
Jv4y4Z4zeRc,2020-09-14,2,0,0,0,0,0,2020
KJKYkGivPi8,2020-09-14,2,0,0,0,0,0,2020
L60C_wcLDHU,2020-09-14,2,0,0,0,0,0,2020
PcSTCsI6zUk,2020-09-14,2,0,0,0,0,0,2020
QS8l0H1BGjY,2020-09-14,2,0,0,0,0,0,2020
RF1chK7xiX0,2020-09-14,2,0,0,0,0,0,2020
WZVKP14QVgo,2020-09-14,2,0,0,0,0,0,2020
br341Djn3_0,2020-09-14,2,0,0,0,0,0,2020
errB7Ku0HyQ,2020-09-14,2,0,0,0,0,0,2020
fm6Dv9POaQk,2020-09-14,2,0,0,0,0,0,2020
hQTDiy0X4eo,2020-09-14,2,0,0,0,0,0,2020
kny1ZHg4tyM,2020-09-14,2,0,0,0,0,0,2020
nV01VpbjQLQ,2020-09-14,2,0,0,0,0,0,2020
qXBG2JV7tms,2020-09-14,2,0,0,0,0,0,2020
qxsXKYJRgJI,2020-09-14,3,1,0,0,0,0,2020
u-qsNS-65pQ,2020-09-14,3,0,0,0,0,0,2020
uDQAWZsh3ns,2020-09-14,2,0,0,0,0,0,2020
v4NPzGXcbaw,2020-09-14,2,0,0,0,0,0,2020
vr7jLRIA7C0,2020-09-14,1,0,0,0,0,0,2020
y7zRv0bPAt4,2020-09-14,4,0,0,0,0,0,2020
2Wsb2KmeD04,2020-09-15,1,0,0,0,0,0,2020
7Ak8vzFzN_Y,2020-09-15,1,0,0,0,0,0,2020
8_HqAYKZZ_I,2020-09-15,3,6,0,0,0,0,2020
9KVzGWFEufI,2020-09-15,1,0,0,0,0,0,2020
DRr8kXo0Agg,2020-09-15,1,0,0,0,0,0,2020
Jv4y4Z4zeRc,2020-09-15,1,0,0,0,0,0,2020
KJKYkGivPi8,2020-09-15,1,0,0,0,0,0,2020
L60C_wcLDHU,2020-09-15,3,1,0,0,0,0,2020
PcSTCsI6zUk,2020-09-15,1,0,0,0,0,0,2020
QS8l0H1BGjY,2020-09-15,1,0,0,0,0,0,2020
RF1chK7xiX0,2020-09-15,1,0,0,0,0,0,2020
WZVKP14QVgo,2020-09-15,1,0,0,0,0,0,2020
br341Djn3_0,2020-09-15,1,0,0,0,0,0,2020
errB7Ku0HyQ,2020-09-15,2,3,0,0,0,0,2020
fm6Dv9POaQk,2020-09-15,1,1,0,0,0,0,2020
hQTDiy0X4eo,2020-09-15,1,0,0,0,0,0,2020
kny1ZHg4tyM,2020-09-15,1,0,0,0,0,0,2020
nV01VpbjQLQ,2020-09-15,1,0,0,0,0,0,2020
qXBG2JV7tms,2020-09-15,1,0,0,0,0,0,2020
qxsXKYJRgJI,2020-09-15,1,0,0,0,0,0,2020
u-qsNS-65pQ,2020-09-15,1,0,0,0,0,0,2020
uDQAWZsh3ns,2020-09-15,2,1,0,0,0,0,2020
v4NPzGXcbaw,2020-09-15,1,0,0,0,0,0,2020
vr7jLRIA7C0,2020-09-15,1,0,0,0,0,0,2020
y7zRv0bPAt4,2020-09-15,2,9,0,0,0,0,2020
2Wsb2KmeD04,2020-09-16,1,3,0,0,0,0,2020
7Ak8vzFzN_Y,2020-09-16,3,14,0,0,0,0,2020
8_HqAYKZZ_I,2020-09-16,7,22,0,0,0,1,2020
Jv4y4Z4zeRc,2020-09-16,6,14,0,0,0,0,2020
L60C_wcLDHU,2020-09-16,3,10,0,0,0,0,2020
WZVKP14QVgo,2020-09-16,2,3,0,0,0,0,2020
errB7Ku0HyQ,2020-09-16,8,20,0,0,0,1,2020
hQTDiy0X4eo,2020-09-16,2,8,0,0,0,0,2020
kny1ZHg4tyM,2020-09-16,1,7,0,0,0,0,2020
